subtype	gisaid_epi_isl	gisaid_strain	originating_lab	submitting_lab
h1n1pdm	EPI_ISL_20144562	A/Qinghai-Chengbei/SWL1333/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20144559	A/Hainan-Meilan/SWL1521/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20144551	A/Guangdong-Maonan/SWL8211/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20144548	A/Fujian-Yanping/SWL11259/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20144547	A/Fujian-Yanping/SWL11259/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20144541	A/Guangxi-Qingxiu/SWL11138/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20144534	A/Guangxi-Qinnan/SWL11190/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20144528	A/Hubei-Wujiagang/SWL1228/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20144518	A/Shaanxi-Hanbin/SWL1522/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20144497	A/Qinghai-Ledou/SWL891/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20137322	A/Manitoba/RV04627-25/2025	Cadham Provincial Laboratory	Public Health Agency of Canada (PHAC)
h1n1pdm	EPI_ISL_20111722	A/France/PAC-RELAB-HCL025118775301/2025	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires, France SUD
h1n1pdm	EPI_ISL_20138892	A/Catalonia/NSAV198331896/2025	Hospital Universitari Arnau de Vilanova	Hospital Universitari Vall d'Hebron
h1n1pdm	EPI_ISL_20138873	A/Catalonia/NSVH161522073/2025	Hospital Universitari Vall d'Hebron	Hospital Universitari Vall d'Hebron
h1n1pdm	EPI_ISL_20138856	A/Bangkok/P2392/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_20138848	A/Bangkok/P2350/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_20138845	A/Bangkok/P2321/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_20138843	A/Bangkok/P2277/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_20138820	A/Bangkok/P2106/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_20138809	A/Ranong/P2671/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_20130960	A/South Australia/2521504942/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20130945	A/South Australia/2521104278/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20130924	A/South Australia/2522001028/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20130749	A/Cambodia/ SVH250321/2025	National Institute of Public Health	National Institute of Public Health
h1n1pdm	EPI_ISL_20130743	A/HIROSHIMA/42/2025	Center for Public Health and Environment, Hiroshima Prefectural Technology Research Institute	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_20129883	A/Bhutan/01845/2025	Bhutan, National Influenza Centre (NIC)	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_20129882	A/Bhutan/01819/2025	Bhutan, National Influenza Centre (NIC)	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_20129845	A/Bhutan/00519/2025	Bhutan, National Influenza Centre (NIC)	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_20114220	A/Hong Kong/RFL-197/2025	The Chinese University of Hong Kong	Chinese University of Hong Kong
h1n1pdm	EPI_ISL_20140340	A/South Australia/2522514410/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20140323	A/South Australia/2522409787/2025	SA Pathology	SA Pathology Laboratory
